”NŒŽ,•{’†,”ª‰¤Žq
2020/1/1,4.8,3
2020/1/2,4.9,4.3
2020/1/3,5.1,4.4
2020/1/4,5.6,4.8
2020/1/5,4.6,3.7
2020/1/6,5.7,4.9
2020/1/7,5.4,5.4
2020/1/8,4.7,5.2
2020/1/9,10.4,8.4
2020/1/10,7.6,7.4
2020/1/11,6.4,6.3
2020/1/12,5.7,5.3
2020/1/13,7.5,6.7
2020/1/14,7.4,7
2020/1/15,6.1,5.8
2020/1/16,5.3,3.7
2020/1/17,6.2,5.4
2020/1/18,3.2,2.5
2020/1/19,5.6,4.9
2020/1/20,6.4,5.6
2020/1/21,5.4,4.6
2020/1/22,3.4,2.9
2020/1/23,5.6,5.7
2020/1/24,9.3,8.9
2020/1/25,6.8,6
2020/1/26,4.2,4.2
2020/1/27,3.5,3.4
2020/1/28,4.2,4.6
2020/1/29,12.4,11.9
2020/1/30,11.1,10.3
2020/1/31,7.7,6.6
2020/2/1,6.7,5.2
2020/2/2,7.7,6.5
2020/2/3,8.8,7.5
2020/2/4,7.4,5.8
2020/2/5,6.4,5.8
2020/2/6,2,1.6
2020/2/7,1.5,0.7
2020/2/8,5,4.4
2020/2/9,2.8,2.3
2020/2/10,3.5,2.4
2020/2/11,5.3,4.2
2020/2/12,6.7,5.9
2020/2/13,11.2,11.1
2020/2/14,10.7,10.3
2020/2/15,10,9.3
2020/2/16,8.2,8.1
2020/2/17,9.6,9.2
2020/2/18,6.5,5.4
2020/2/19,6.3,5.7
2020/2/20,8.1,7.7
2020/2/21,9.3,8.8
2020/2/22,11.2,10.9
2020/2/23,9.7,8.7
2020/2/24,8.1,7.1
2020/2/25,9,8.5
2020/2/26,7.5,7.3
2020/2/27,6.3,5.7
2020/2/28,6.2,5.1
2020/2/29,8.8,8.4
2020/3/1,11.6,11
2020/3/2,7.2,7.1
2020/3/3,10.9,10.1
2020/3/4,8.6,8.5
2020/3/5,8.4,7.8
2020/3/6,8,6.9
2020/3/7,7.1,7.2
2020/3/8,6.8,6.7
2020/3/9,13.2,12.8
2020/3/10,13.7,13.4
2020/3/11,13.8,13.7
2020/3/12,10.4,9.5
2020/3/13,11.9,11
2020/3/14,5,4.8
2020/3/15,6,5.8
2020/3/16,4.9,5.9
2020/3/17,6.2,5.3
2020/3/18,11,10.5
2020/3/19,13.8,13.4
2020/3/20,13.9,13.6
2020/3/21,13.4,12.2
2020/3/22,16,15.7
2020/3/23,9.9,9.7
2020/3/24,7.5,7
2020/3/25,8.6,7.6
2020/3/26,12.6,11.9
2020/3/27,15.5,15.2
2020/3/28,15.6,15.7
2020/3/29,2.9,3.3
2020/3/30,6.3,6.3
2020/3/31,8.8,8.2
2020/4/1,10.8,10.7
2020/4/2,13.8,13
2020/4/3,11.6,10.6
2020/4/4,14.8,14.6
2020/4/5,10.2,9.1
2020/4/6,11,10.5
2020/4/7,11.6,10.6
2020/4/8,13.5,12.7
2020/4/9,12.9,11.9
2020/4/10,10.5,10
2020/4/11,11.4,10.6
2020/4/12,9.6,9.1
2020/4/13,7.3,7.5
2020/4/14,10.6,10.5
2020/4/15,13,12.2
2020/4/16,11.4,11.2
2020/4/17,11.8,11.4
2020/4/18,12.9,12
2020/4/19,14.6,14.3
2020/4/20,9.4,9.5
2020/4/21,14.4,14.3
2020/4/22,13.4,13
2020/4/23,11.1,10.2
2020/4/24,11.5,10.7
2020/4/25,12.3,12.1
2020/4/26,16.9,17
2020/4/27,12.5,12.1
2020/4/28,12.4,12.5
2020/4/29,15.2,14.9
2020/4/30,17.7,16.9
2020/5/1,19.4,19.5
2020/5/2,21.2,20.8
2020/5/3,20.6,20.9
2020/5/4,19.4,19.3
2020/5/5,21,20.9
2020/5/6,15.2,15
2020/5/7,16.7,16.2
2020/5/8,15.5,14.6
2020/5/9,16.7,15.8
2020/5/10,21.1,20.3
2020/5/11,23.7,23.3
2020/5/12,21.4,21.1
2020/5/13,21.2,20.4
2020/5/14,20.3,19.7
2020/5/15,20.7,20.7
2020/5/16,18,17.9
2020/5/17,21.5,21.5
2020/5/18,18.9,18.6
2020/5/19,17.1,17.2
2020/5/20,12.4,12.1
2020/5/21,11.5,11.5
2020/5/22,15.5,15.5
2020/5/23,18.8,18.8
2020/5/24,20.5,20.4
2020/5/25,21,20.7
2020/5/26,20.9,20.6
2020/5/27,21.6,21.1
2020/5/28,19.8,19.6
2020/5/29,20.2,20.1
2020/5/30,21.3,20.8
2020/5/31,20.5,19.8
2020/6/1,18.6,18.5
2020/6/2,21.7,21.8
2020/6/3,23.7,23.7
2020/6/4,23.2,22.9
2020/6/5,24.3,24.1
2020/6/6,23.6,23.1
2020/6/7,22.1,22.1
2020/6/8,22.7,22.8
2020/6/9,25.1,25.3
2020/6/10,25.6,26.3
2020/6/11,24.6,24.8
2020/6/12,26.2,26.1
2020/6/13,21.2,21.2
2020/6/14,21.3,21.2
2020/6/15,26,26.1
2020/6/16,25.2,25.1
2020/6/17,23.4,23.4
2020/6/18,21.8,21.4
2020/6/19,18.3,17.8
2020/6/20,22.7,22.7
2020/6/21,21.7,20.9
2020/6/22,19.1,18.7
2020/6/23,22.3,22.6
2020/6/24,22.3,22.6
2020/6/25,20.7,20.7
2020/6/26,24.7,24.4
2020/6/27,25.8,25.8
2020/6/28,22.3,22.1
2020/6/29,24.1,23.8
2020/6/30,23.9,23
2020/7/1,24.7,24.4
2020/7/2,26.1,26.8
2020/7/3,23.8,23.7
2020/7/4,22.2,21
2020/7/5,24,23.7
2020/7/6,23.9,24.2
2020/7/7,26.1,26.6
2020/7/8,25.1,24.5
2020/7/9,23.3,23.1
2020/7/10,24.5,24
2020/7/11,26.8,26.5
2020/7/12,26.3,25.7
2020/7/13,20.8,20.8
2020/7/14,21.3,21
2020/7/15,20.2,20.1
2020/7/16,20.9,20.5
2020/7/17,19.5,19.5
2020/7/18,20.5,20.7
2020/7/19,24.3,24.3
2020/7/20,26.5,26.2
2020/7/21,25,24.7
2020/7/22,26.7,26.3
2020/7/23,22.6,22.1
2020/7/24,24.3,23.8
2020/7/25,23.8,23.3
2020/7/26,24.3,23.6
2020/7/27,25.5,25
2020/7/28,25.4,24.7
2020/7/29,22.3,21.9
2020/7/30,23.1,22.6
2020/7/31,25.1,24.5
2020/8/1,26.2,26.2
2020/8/2,26.2,25.8
2020/8/3,26.8,26.7
2020/8/4,27.8,27.3
2020/8/5,28.9,28.7
2020/8/6,28.4,28.2
2020/8/7,30,29.8
2020/8/8,28.4,27.5
2020/8/9,29,28.1
2020/8/10,30.6,29.8
2020/8/11,31.9,32.4
2020/8/12,29.5,28.7
2020/8/13,29.9,29
2020/8/14,29.4,28.7
2020/8/15,31.2,30.6
2020/8/16,30.9,30.4
2020/8/17,29.9,29.5
2020/8/18,30,29.4
2020/8/19,29,28.5
2020/8/20,29.4,28.7
2020/8/21,29.8,29.3
2020/8/22,29.1,28.6
2020/8/23,26.5,26.3
2020/8/24,27.9,27.4
2020/8/25,27.8,27.9
2020/8/26,29.1,28.7
2020/8/27,28.7,28.4
2020/8/28,29.4,29
2020/8/29,29.7,29.3
2020/8/30,29.5,29.4
2020/8/31,27.3,26.9
2020/9/1,24.3,23.7
2020/9/2,26.8,26
2020/9/3,28,27.5
2020/9/4,28.1,28.1
2020/9/5,28.2,27.8
2020/9/6,25.6,24.4
2020/9/7,26.4,25.8
2020/9/8,28.7,28.3
2020/9/9,28.3,28.3
2020/9/10,27,26.2
2020/9/11,27.9,27.3
2020/9/12,23.5,23.1
2020/9/13,23.3,23.1
2020/9/14,23.1,22.9
2020/9/15,24,23.4
2020/9/16,24,23.2
2020/9/17,24.9,24.5
2020/9/18,27.9,26.8
2020/9/19,24.2,23.3
2020/9/20,21.4,20.7
2020/9/21,21.4,21.1
2020/9/22,22.1,21.7
2020/9/23,19.5,19.2
2020/9/24,18.6,18.3
2020/9/25,19.1,19.1
2020/9/26,18.1,18.1
2020/9/27,19.4,19.1
2020/9/28,21.2,20.6
2020/9/29,19.2,18.4
2020/9/30,19.3,18.5
2020/10/1,19.3,18.5
2020/10/2,20.4,20
2020/10/3,21.5,20.9
2020/10/4,21.1,20.4
2020/10/5,21,20.5
2020/10/6,20.4,19
2020/10/7,17.5,17.3
2020/10/8,14.2,14.2
2020/10/9,14.1,14.3
2020/10/10,15.7,16.1
2020/10/11,19.9,20.2
2020/10/12,21.1,20.9
2020/10/13,21.5,21.4
2020/10/14,20,19.3
2020/10/15,16.7,16.7
2020/10/16,15.6,15
2020/10/17,12.2,11.9
2020/10/18,13.8,13.6
2020/10/19,12.1,11.9
2020/10/20,14.7,14.2
2020/10/21,15.3,14.5
2020/10/22,16.9,16.4
2020/10/23,16.5,16.7
2020/10/24,16.4,15.4
2020/10/25,14.3,13.3
2020/10/26,15.8,15.3
2020/10/27,15.7,15.6
2020/10/28,15.7,15.4
2020/10/29,16.3,15.1
2020/10/30,14.1,12.3
2020/10/31,11.9,10.5
2020/11/1,13.1,12.6
2020/11/2,14.5,14.3
2020/11/3,14.8,14.7
2020/11/4,13,12.1
2020/11/5,12.2,11.8
2020/11/6,11.6,11.6
2020/11/7,14.1,13.8
2020/11/8,17,16.1
2020/11/9,13,11.5
2020/11/10,11,9.8
2020/11/11,10.5,9.2
2020/11/12,9.2,9.2
2020/11/13,12.9,12.1
2020/11/14,13.9,12.1
2020/11/15,12,11
2020/11/16,13.8,13.1
2020/11/17,14.1,12.6
2020/11/18,14.6,14.2
2020/11/19,18.3,18
2020/11/20,21.3,20
2020/11/21,15.6,14.1
2020/11/22,13.1,12
2020/11/23,14.4,13.9
2020/11/24,10.8,10.1
2020/11/25,10,10
2020/11/26,11.8,11.6
2020/11/27,11.5,10.9
2020/11/28,11,10.6
2020/11/29,8.3,7.5
2020/11/30,8.3,7.9
2020/12/1,9.2,8.5
2020/12/2,7.3,7.5
2020/12/3,7.4,7.6
2020/12/4,8.8,7.7
2020/12/5,5.8,5.8
2020/12/6,6.8,6.8
2020/12/7,8.5,8.4
2020/12/8,10.6,9.9
2020/12/9,8.6,7.7
2020/12/10,8.3,8
2020/12/11,8.9,8.4
2020/12/12,10.6,10.3
2020/12/13,8.7,8.7
2020/12/14,6.9,6
2020/12/15,4.5,4
2020/12/16,3.2,4.1
2020/12/17,2.5,1.8
2020/12/18,4,3.3
2020/12/19,4.1,3.5
2020/12/20,2.7,1.7
2020/12/21,3.4,2.5
2020/12/22,4.2,3.5
2020/12/23,5.9,5.3
2020/12/24,5.7,5.7
2020/12/25,6.9,6
2020/12/26,5,4
2020/12/27,5.6,5.2
2020/12/28,7.7,7.1
2020/12/29,6.6,5.8
2020/12/30,6,5.7
2020/12/31,2.6,1.6
2021/1/1,2.5,1.8
